% Title: Dictionary database. 
% Source: Yelp.com Data. 
% Authors: Manikanta Talanki & Kaushik Sirineni. 

@RELATION dictionary original 
@ATTRIBUTE word String 
@ATTRIBUTE usefulVotesPercent {A,B,C,D,E}
@ATTRIBUTE usefulnessPercent {A,B,C,D,E}

@DATA 
timed,C,C
timei,D,B
mugs,B,A
inefficient,C,B
times,B,A
timer,C,B
mimosa,C,A
astounded,C,A
consumption,D,C
timid,C,A
much,C,B
update,D,B
mush,C,B
technician,B,D
mule,B,D
pottery,D,C
muni,B,C
potter,D,C
admirable,D,E
graduation,B,B
must,C,A
blandthe,B,A
unfriendly,B,A
accompaniment,D,B
yourself,C,B
hallmark,C,A
verbal,A,A
luscious,A,C
interfere,B,A
glass,C,B
glare,C,A
tiled,A,A
impress,C,C
allamerican,C,B
straightened,C,A
potatos,B,A
potatoe,B,A
locales,D,C
organization,C,C
tiles,D,C
sylvias,C,C
savers,C,A
combine,D,B
followed,D,B
pointless,D,B
guessing,C,B
greatservice,B,D
controlled,A,A
runner,C,B
staring,D,C
excellently,B,C
underage,D,A
eyesore,C,A
tikka,C,B
tikki,A,B
prizes,C,B
hopped,A,B
memberships,C,A
techno,C,B
followup,C,A
marina,D,A
hoppin,C,B
revolving,B,B
locally,C,B
warehouse,D,C
astonished,A,E
breading,B,A
craftsmanship,B,D
waiterwaitress,B,A
sacrificing,B,D
whoopie,C,A
courteous,B,A
palettes,D,A
awning,D,C
economy,C,B
collector,C,A
sounds,D,B
peeling,C,D
regret,C,B
intolerant,B,B
parilla,B,E
burgerthe,D,B
glaze,D,B
indicate,C,B
prevented,B,C
decided,C,B
tinge,B,D
tinga,C,C
kiddo,C,D
legally,A,A
unbeatable,B,B
squeezed,D,B
collected,A,C
variations,C,A
toilets,D,C
energetic,C,B
margin,D,A
engage,D,C
decides,D,B
entryway,D,B
novels,A,C
restored,D,B
tokens,C,D
idiots,D,B
manicotti,B,D
sending,C,B
piercings,B,A
shaking,D,B
cereal,C,B
pizazz,D,C
framing,C,D
tipsy,C,A
girlfriends,C,B
hickory,D,D
savior,D,B
customize,B,A
represented,C,C
whimsical,A,C
saving,D,A
giuseppes,A,B
marley,D,C
proportioned,C,E
bolted,B,B
kicks,D,A
accompanies,D,B
accompanied,D,B
littered,D,C
wheelchair,C,D
invariably,D,C
cookiecutter,A,C
stomach,C,A
traffic,D,B
weirdo,C,C
veggies,C,B
fiasco,A,C
renting,C,B
renovations,C,A
layover,B,B
firing,D,E
notified,B,E
sephora,D,A
serranos,B,D
wannabe,D,B
spicey,B,A
spices,C,B
bladder,D,C
wellseasoned,C,C
spiced,C,B
giggle,D,B
inattentive,B,A
adequate,B,A
tostada,C,B
landlord,C,C
practice,C,B
mysteriously,A,D
period,B,B
gazillion,C,A
verdes,C,D
dislike,C,B
bugged,B,B
according,C,B
whilst,C,C
vikings,B,A
meringue,A,C
spider,B,A
freindly,B,D
civilization,D,B
nationwide,B,D
tires,B,D
fennel,D,C
fullsize,C,C
subbed,C,C
across,C,B
kansas,C,A
markup,D,B
averaged,A,D
averages,C,B
strange,C,A
nature,D,B
snotsdale,D,C
strands,B,D
yummmm,C,A
invited,D,B
invites,C,D
novice,D,C
starchy,D,C
tired,C,A
marked,D,B
eyebrow,B,A
market,D,B
marker,C,B
yummyi,B,A
alternate,C,B
phoenicians,A,E
accurately,A,B
clipped,C,D
easily,C,B
starsmy,C,C
extends,C,B
easier,C,B
kiosk,C,A
firmer,C,D
yeast,D,E
junky,C,D
years,B,A
yearn,A,E
glitz,D,B
bowling,C,B
checkout,B,A
weirdly,C,A
weirdos,C,C
execution,D,B
ramekin,A,C
jumps,D,B
executive,C,C
wobbly,C,A
carmels,B,D
bashas,C,D
weirded,C,A
subject,D,B
veggie,C,B
appitizer,B,D
firmly,D,A
confronted,C,D
octopus,C,B
jumbo,D,B
kinks,D,C
dealbreaker,B,A
punish,C,A
variety,B,B
listing,D,B
souvia,C,A
coconut,C,B
title,D,A
mingling,D,B
yumthe,B,A
marrow,B,B
oscar,C,C
verdict,A,C
tending,B,A
conversational,D,C
senses,D,A
nail,B,A
toilet,D,B
nathan,E,B
specifications,B,B
yelling,C,B
testing,C,B
goodsized,D,A
fireplace,C,B
napa,D,B
sensed,C,C
cautious,B,D
nami,D,A
name,C,B
nana,C,B
nash,C,B
sensor,B,D
nate,C,C
kings,C,B
bubbling,A,C
nary,A,B
kinds,C,B
starsservice,C,D
kinda,C,B
hybrid,D,A
snobby,C,B
football,B,A
navy,D,C
clogging,D,C
dirtier,C,A
surfing,A,A
occassion,B,B
succeeded,C,E
examining,A,A
nada,D,B
hobby,B,C
naco,C,A
naan,C,B
barrestaurant,C,B
costing,C,A
yakitori,D,C
showcase,C,B
jonesing,D,A
toothpick,A,E
engine,B,D
reminisce,D,C
vegies,B,D
laughing,D,B
grilling,A,B
relocate,A,E
sizzling,C,A
product,C,B
produce,C,B
valuethe,D,A
hangout,B,B
nazi,A,B
popovers,A,E
minuscule,C,B
kills,D,B
suggested,D,B
nation,D,A
shopping,C,B
fooled,C,B
delight,D,B
nailed,C,B
environs,A,A
preparations,C,C
native,C,B
albertsons,B,B
warned,D,B
daring,D,A
warner,B,A
costcos,B,B
souper,B,B
particularly,C,A
inebriated,D,A
prominent,A,D
influences,D,B
influenced,D,C
nourish,D,C
baskin,C,B
superstition,B,C
basket,D,C
marnier,D,C
hankerin,D,A
reflect,D,B
several,C,B
bearable,C,B
myst,A,B
whisky,C,C
overseas,C,C
problemthe,B,B
hauled,C,B
stabbed,C,B
coupons,B,A
splendid,D,B
tingle,A,B
fairway,B,A
believing,A,B
marvel,A,C
warmed,C,C
warmer,B,A
lecture,A,E
improperly,D,B
roughly,C,B
souvlaki,B,A
preceded,A,A
hustling,D,B
juicy,C,A
juice,C,A
fenced,C,B
warmth,C,B
welldone,D,A
darker,D,B
listens,B,B
cupcakes,C,A
warmly,A,C
tenders,B,A
confections,E,C
dipped,D,B
occupied,D,B
wouldve,D,B
occupies,A,E
underground,C,C
basing,C,C
yearsthe,D,B
gentleman,C,A
hardearned,A,E
sporadic,B,D
crafted,D,C
source,C,A
retrieve,A,C
zipper,C,A
gentlemen,C,B
basics,C,A
jungles,C,D
spiked,D,C
always,B,A
convince,D,B
fastfood,B,A
boozing,A,B
overthetop,D,C
fender,C,B
julio,C,C
doubletree,B,C
julie,D,D
julia,E,A
extra,B,A
aficionado,C,A
glove,C,A
gloss,E,C
foofoo,B,A
availability,C,B
shoppers,D,B
stromboli,B,A
struggle,B,B
deodorant,A,D
cheesesteaks,B,A
daunting,D,C
glory,D,B
whites,D,C
spills,A,E
bellied,A,C
bellies,D,B
baileys,B,D
permanent,C,B
reactions,A,C
eccentric,A,B
besides,C,B
patronizing,D,A
eventually,D,B
mediocre,B,A
weight,C,B
globs,D,A
weighs,C,B
businesses,D,B
globe,C,B
couples,C,B
coupled,B,B
refillable,C,B
wouldnt,C,B
atleast,B,A
martin,C,C
martha,C,A
mega,D,A
regard,B,B
meet,D,B
sunglasses,C,B
meds,C,B
meit,D,B
meif,B,B
mein,B,B
brows,B,A
brown,C,B
mehi,C,A
broth,C,B
youtube,C,C
glorified,C,C
mens,D,A
menu,C,B
patches,C,A
western,C,B
memy,B,B
memo,C,B
midafternoon,B,C
melt,C,B
laughter,D,C
diluted,C,D
ferrari,D,B
meso,A,C
mess,C,B
mesa,B,B
mesh,C,A
reviews,C,B
reviewi,A,B
wednesdays,B,B
merc,D,A
mere,A,C
broom,C,D
bronx,B,D
experiance,C,A
mewe,A,A
meth,D,A
goldfield,D,E
sensitive,C,B
wellorganized,C,C
congee,C,C
christopher,A,C
mexi,B,A
strenuous,D,B
interrupted,C,B
sauted,C,B
cornish,C,B
brushing,D,E
reggiano,A,C
wellstocked,B,A
gangplank,A,E
hanging,D,B
intoxicating,A,B
congealed,C,C
covering,D,A
something,C,B
entries,D,B
france,D,A
subpar,C,B
bellini,B,D
monarch,A,E
windshield,C,D
landed,D,B
russian,C,C
oysters,C,B
franks,A,B
looks,C,B
various,C,B
onions,C,B
loops,D,B
oniony,C,A
loose,C,A
gossiping,C,E
shining,D,C
confit,D,B
nuisance,C,C
weekends,B,B
immaculate,C,B
interests,B,A
meat,C,B
mean,D,B
meal,C,B
framed,A,B
coffeehouses,D,D
crowds,C,B
mgmt,C,C
frames,C,D
crowed,B,B
incorrectly,C,A
gammage,C,B
bellman,D,B
reusable,D,D
biersch,B,A
newspaper,C,C
finance,B,D
lolas,C,A
matched,B,A
matches,B,A
lolos,A,C
wannabes,D,B
tastiness,C,C
trivia,B,A
ashamed,D,C
crowns,C,B
organ,C,A
auction,C,B
favorable,C,B
pizzookie,B,B
priest,C,B
copious,C,A
requirement,C,A
potent,D,A
importantly,C,B
haunts,C,B
irvine,C,C
submit,D,B
mealthe,C,C
appliances,C,A
clarify,C,A
wiener,E,B
finally,C,B
signing,C,A
unapologetic,A,A
checkers,B,C
monument,B,C
washed,D,A
judgment,D,C
made,C,B
suburb,B,A
macs,B,A
waitthe,D,C
surgery,B,D
maki,C,D
jampacked,D,B
make,C,B
mahi,B,A
washes,C,B
washer,C,A
mags,C,A
mail,C,A
main,C,B
tremendous,C,C
surgeon,C,D
maid,B,B
braised,D,B
maam,D,D
shoddy,D,C
glued,D,D
kisra,A,E
drybar,C,B
cuban,B,A
maui,D,B
mats,C,C
matt,D,C
math,A,B
mate,C,B
loses,D,C
loser,A,B
didthe,B,C
deconstructed,A,E
glitter,A,B
cubes,D,B
pharmacist,C,B
cubed,D,B
maze,C,B
mayo,C,A
maxx,D,A
intolerance,D,D
mani,B,A
many,C,B
mans,D,B
mama,D,B
translation,A,E
reversed,D,B
male,D,A
malt,D,B
mall,C,B
masa,C,C
mask,D,A
phoenixthe,C,C
mash,C,A
mass,D,A
marc,C,B
mark,C,B
marg,B,B
mart,B,D
mars,C,C
mary,C,B
senior,C,A
magician,B,A
starved,C,B
replacing,B,A
maps,C,C
reflective,B,D
cereals,B,A
forgiven,D,B
oreos,B,B
crooks,C,D
anticipated,C,A
shochu,A,C
combinations,C,A
reflection,D,C
similar,C,B
fullon,A,C
defeated,C,A
subtle,D,B
called,C,B
reggae,B,A
subtly,A,E
bruce,A,C
kitty,A,D
meatballs,C,A
meatballz,B,C
brule,C,B
comparisons,C,A
supplements,C,D
progressively,B,A
returns,D,B
brush,D,C
outlets,C,B
riesling,D,C
saketini,C,B
blatant,E,D
calmed,C,B
raining,D,A
mcds,B,B
tragically,E,A
fuller,C,E
nerves,D,C
supposed,C,B
potato,C,B
milling,D,B
nighti,C,A
nights,B,B
bestie,B,D
million,D,B
callus,B,B
starthe,D,E
starter,C,A
started,C,B
supports,C,A
shish,C,C
checking,C,B
checkins,B,A
wontons,B,B
croque,D,B
knocked,C,B
uniform,C,A
verified,B,C
thickcut,A,D
respects,C,B
copper,D,C
violation,D,A
calmly,D,A
listings,C,A
plating,C,C
shift,C,B
shine,D,C
maintaining,D,B
shiny,D,C
jacuzzi,B,B
haunted,C,B
dryers,C,A
shirt,D,A
order,C,B
ships,D,B
immature,C,A
cluster,D,A
kirin,B,C
answered,C,A
wherever,D,B
illegal,D,C
silverware,C,C
tripas,C,A
lowes,B,D
lower,B,B
shawn,B,D
shave,C,D
aptly,B,B
stationary,C,B
cadillac,C,D
fiance,B,B
wristband,D,C
necessarily,C,B
softly,D,C
sampling,C,B
bending,D,B
retractable,B,B
antibiotic,B,D
hilton,B,A
soften,C,C
softer,C,B
shogun,C,A
located,C,B
programming,B,B
ipads,B,B
branched,B,B
mmmm,C,B
branches,C,C
nigiri,C,B
spectacular,B,A
mining,B,B
platter,C,B
thunderbird,C,B
mascot,D,B
icecream,B,B
shakers,D,C
bryan,C,D
triple,C,B
subway,B,A
counterparts,C,A
closeby,C,B
utter,A,C
saunas,D,E
louis,C,B
enthusiasm,D,C
louie,C,A
enthusiast,B,A
closely,D,C
freaking,D,C
embarrassed,C,B
masaman,B,C
sought,D,A
october,C,B
waiters,B,B
closest,C,B
mozz,C,C
somewhat,C,B
imperial,B,C
cuppa,A,C
lotus,D,B
appalled,C,C
demanding,D,B
lotsa,B,C
monk,B,B
curly,C,B
moms,D,B
curls,D,E
mood,C,B
mole,C,B
mold,C,B
sheep,D,E
sheer,D,C
sheet,D,B
moly,C,E
dwell,D,C
nogales,C,C
niros,B,A
samplers,B,A
mojo,D,A
prints,C,C
curds,C,B
cured,D,C
move,C,B
reputable,C,B
region,C,B
most,C,B
moto,A,B
drying,C,C
lovin,A,B
violin,A,A
mingle,C,B
more,C,B
bahamas,B,A
lover,C,A
loves,B,A
saturated,C,A
mosh,A,B
representing,C,A
moon,C,B
resource,D,C
loved,B,A
lovei,D,A
souffl,D,D
mcgrath,C,C
flagged,D,B
prince,D,A
analogy,D,A
joyful,D,B
shell,C,B
shelf,C,B
moes,B,A
mode,D,C
mock,C,A
uturn,D,B
sunlight,D,C
lousy,B,B
masala,C,B
apprehensive,B,A
litchfield,B,D
mashed,C,B
fooling,D,B
yesterday,C,B
awkwardly,D,B
sweater,D,B
oriented,B,A
hangers,D,B
patronized,B,C
apply,C,B
oriental,B,B
castles,D,A
cocacola,B,B
apple,C,B
rainbow,C,B
seriouslyi,A,C
tritip,B,C
whitening,B,D
northeast,C,B
frances,D,A
substance,C,B
franchise,B,B
peppered,C,B
newspapers,D,C
oftenthe,B,A
clientle,C,E
engagement,B,B
rentals,D,B
mill,B,A
milk,C,B
mile,C,B
mild,C,B
underrated,B,C
mina,C,C
foolish,A,D
mine,C,B
mind,C,B
mini,C,B
mint,C,B
mins,B,A
misc,C,B
beside,C,A
mish,C,C
costume,D,B
miso,C,A
miss,B,A
mist,C,C
unoriginal,B,D
blacked,C,A
mien,C,B
computer,C,B
blasted,D,C
mido,B,C
mids,D,B
mike,D,A
redemption,A,C
relieved,C,C
indiana,C,B
indians,C,A
miners,D,B
certainly,C,B
mias,A,A
epitome,D,B
greetings,B,D
francis,D,B
welcoming,B,B
undercooked,B,B
eerily,A,A
devoted,A,C
appts,C,E
position,D,B
daytime,B,B
article,D,C
nites,C,A
positive,C,A
dotties,A,D
minded,C,B
tastywe,B,B
reflexology,B,A
baguettes,B,B
april,B,A
convey,D,B
consists,C,C
apron,D,A
aspects,C,B
wasabi,C,B
closing,C,B
loyal,C,B
convenient,B,A
waiting,C,B
replacements,B,B
expectation,B,A
logical,C,C
infused,D,B
exceptions,C,B
prison,D,A
walmarts,B,B
fixtures,D,B
eastside,B,D
lollipops,C,B
minced,D,B
intrigued,C,B
heritage,A,C
subsequent,D,A
balloon,B,D
arabic,D,C
improve,B,B
shabu,A,C
foothills,B,D
easter,D,B
shack,C,B
corners,C,B
shade,C,A
shady,C,B
cumin,C,B
employ,D,C
shaft,C,C
hoping,C,B
shake,C,A
shaky,B,C
bargain,D,A
shall,A,B
shame,C,B
encountered,C,B
cholula,B,C
shane,A,B
shank,C,C
shape,C,B
cantaloupe,C,B
share,D,B
sharp,D,B
shark,D,D
masterfully,C,D
brave,D,C
bravo,C,B
darkened,D,B
basis,C,B
basil,C,B
basic,B,A
brass,D,B
mondrian,D,E
brats,D,B
flipping,D,B
rather,C,B
quiche,C,A
gaming,C,B
morons,D,B
nirvana,C,A
medallion,C,A
terribly,C,B
terrible,B,A
stools,A,E
assignment,C,B
beneath,D,C
outgoing,C,A
displayed,C,B
placement,C,D
bathe,A,A
baths,A,C
resolve,C,A
stalls,A,B
stalla,B,E
batch,C,C
characters,D,B
stalks,D,C
smiths,D,E
forever,C,B
stands,C,B
artist,D,C
bridal,B,D
brittany,D,A
tapatio,B,A
brides,C,C
barre,B,A
barry,D,B
neapolitan,D,C
bridge,C,B
stamps,D,C
brain,D,B
hookah,B,B
bricks,C,C
paired,D,C
gettin,A,A
brady,A,B
