% Title: Dictionary database. 
% Source: Yelp.com Data. 
% Authors: Manikanta Talanki & Kaushik Sirineni. 

@RELATION dictionary1 
@ATTRIBUTE usefulVotesPercent NUMERIC

@ATTRIBUTE cluesterClass {A,B,C,D,E}

@DATA 
2.1048386,C
2.6346154,D
1.6914893,B
2.25,C
1.6814312,B
2.005319,C
2.0627177,C
2.2295082,C
2.7226276,D
1.8245614,C
1.95076,C
2.2941546,D
2.1686747,C
1.2897959,B
1.5547945,B
2.4145079,D
1.64,B
2.5238094,D
2.4186046,D
1.5986842,B
1.9048827,C
1.7575758,B
1.7381546,B
2.3055556,D
2.1919465,C
2.2,C
2.952381,A
3.351145,A
1.5757576,B
2.2800598,C
2.1551723,C
3.5454545,A
2.1318243,C
2.2641509,C
2.121951,C
1.7932489,B
1.281915,B
2.871795,D
2.1360946,C
2.491228,D
1.9814814,C
2.0,C
2.6031747,D
2.5281427,D
2.3372092,D
2.1612284,C
1.0294118,B
3.030303,A
2.0823529,C
2.7525988,D
1.7794118,B
2.5918367,D
2.2424242,C
2.1234567,C
3.090909,A
1.9204545,C
2.9452055,A
2.1538463,C
1.9349593,C
1.8119658,C
2.4461539,D
2.1607144,C
1.5979382,B
2.0314093,C
2.3722398,D
3.0980392,A
1.6437848,B
1.7272727,B
1.3958334,B
1.106383,B
2.0,C
1.4161199,B
2.3243244,D
2.3225806,D
2.2279153,C
1.8653846,C
2.4056752,D
2.1791046,C
1.840708,C
1.5728155,B
1.6666666,B
2.7636364,D
2.28739,D
2.159091,C
1.703125,B
2.1184638,C
1.4864864,B
2.0277777,C
2.05,C
3.2105262,A
1.2905028,B
2.3096027,D
2.945946,A
1.8424243,C
2.5688074,D
1.9400922,C
2.3181818,D
2.6929824,D
2.6015038,D
2.8461537,D
3.0243902,A
2.381356,D
2.0769231,C
2.3012822,D
1.2884616,B
2.1155014,C
1.6574074,B
2.7546012,D
2.1405623,C
2.368421,D
1.9672132,C
2.2,C
1.8554397,C
2.4186046,D
2.4736843,D
1.76,B
1.9761904,C
3.0666666,A
2.3255172,D
3.0144928,A
2.3513513,D
2.2727273,C
1.6190476,B
2.3278008,D
2.648148,D
2.5295815,D
2.46875,D
1.9047619,C
2.3265307,D
2.9772727,A
2.0424283,C
2.3074934,D
2.1052632,C
1.9438326,C
2.9577465,A
2.1259842,C
2.051095,C
1.3655914,B
2.4166667,D
1.677686,B
2.5333333,D
1.2561984,B
2.3354037,D
1.0,B
1.9883212,C
2.7179487,D
2.2307692,C
2.1419458,C
2.7333333,D
1.6068376,B
1.7123519,B
1.9483204,C
1.8095238,C
1.840484,C
3.2244897,A
1.7777778,B
2.0,C
2.2439024,C
1.8971292,C
1.6440678,B
2.17757,C
2.2820513,C
1.5675676,B
3.3209877,A
1.625,B
0.54285717,B
2.575,D
1.2372881,B
1.2505568,B
2.3636363,D
1.8387097,C
1.9722222,C
1.9783348,C
1.9836066,C
2.477612,D
3.6285715,A
2.159091,C
1.9714588,C
2.6412213,D
2.71875,D
1.7692307,B
2.15,C
2.6737704,D
2.2586207,C
2.3826087,D
2.4761906,D
2.0613246,C
2.3612902,D
1.5669291,B
2.3214045,D
1.8070176,C
1.6875,B
2.0677967,C
2.9866667,A
2.920792,A
2.122449,C
2.102711,C
1.9354838,C
2.1176472,C
2.0021667,C
2.081818,C
1.9032258,C
2.7,D
1.9444444,C
1.7857808,B
3.108108,A
2.5789473,D
2.0364964,C
1.7929984,B
2.0576923,C
2.0625,C
2.4542484,D
3.4615386,A
2.3461537,D
2.0335195,C
2.0857143,C
1.3125,B
2.1128526,C
1.8205128,C
2.487013,D
1.8822803,C
1.34375,B
2.5747128,D
2.245614,C
2.2719665,C
2.3221884,D
2.696884,D
1.2580645,B
1.84375,C
1.7582542,B
2.857143,D
1.8125,C
2.0263956,C
2.4270463,D
2.5542169,D
1.7125,B
1.4615384,B
1.9821428,C
3.0597014,A
1.4827586,B
2.5,D
2.460674,D
1.50824,B
2.4667802,D
5.4722223,E
1.6612903,B
2.1200829,C
2.152174,C
2.5068493,D
2.2132616,C
2.446281,D
1.9743589,C
1.5352113,B
2.4117646,D
2.2239559,C
2.2424242,C
2.1860466,C
1.4181818,B
1.9166666,C
1.9239767,C
2.948052,A
3.4565217,A
2.1767068,C
1.9736842,C
1.9179738,C
2.7142856,D
1.8938775,C
1.6121768,B
2.3916667,D
2.8823528,D
2.03125,C
3.1692307,A
1.1884058,B
2.25,C
3.0,A
2.8356164,D
1.7758621,B
1.9375,C
1.9283746,C
1.84,C
1.9071429,C
2.419355,D
2.0526316,C
2.5494506,D
3.1875,A
1.6809524,B
2.6153846,D
1.3333334,B
2.7526653,D
2.9060402,A
3.3488371,A
2.2,C
2.0128074,C
1.9713637,C
2.7272727,D
1.4243479,B
3.0515463,A
3.419753,A
2.2702703,C
2.442748,D
2.3280942,D
2.869281,D
2.0196948,C
2.1797752,C
2.5690866,D
2.087838,C
3.3529413,A
1.9342105,C
2.2310839,C
1.5357143,B
2.3121622,D
2.6804123,D
1.4087591,B
1.490566,B
1.5142857,B
1.9185573,C
2.5211267,D
2.9574468,A
2.6727273,D
2.3061225,D
2.7326732,D
1.974026,C
1.6692308,B
2.3581028,D
2.4411764,D
2.8125,D
2.3896103,D
1.9326655,C
2.079208,C
3.774648,A
2.032258,C
2.1636364,C
1.1935484,B
1.9230769,C
2.2258065,C
1.5672468,B
2.5447154,D
3.75,A
1.4084507,B
3.0877192,A
2.9104478,A
2.142857,C
1.7798507,B
3.297619,A
2.387097,D
2.1580882,C
1.7122302,B
3.2121212,A
2.5744681,D
2.0533223,C
2.0012887,C
2.1666667,C
2.2171428,C
2.304762,D
2.3521128,D
1.4067796,B
2.0731707,C
3.0353358,A
1.4087759,B
4.952381,E
2.3996282,D
2.3202765,D
2.3537488,D
4.1153846,A
2.15,C
1.9230769,C
2.5777779,D
2.018018,C
3.125,A
1.6279069,B
2.3582678,D
2.1292517,C
2.9381444,A
1.8979592,C
2.1293533,C
1.8341464,C
1.8305085,C
2.8133333,D
1.4451491,B
2.483108,D
1.3598326,B
3.2727273,A
2.592,D
1.8333334,C
2.0365853,C
1.5909091,B
2.7142856,D
4.626984,E
1.7904685,B
2.0306122,C
1.9152542,C
5.9130435,E
1.6451613,B
1.9141104,C
2.5333333,D
1.2,B
1.6954023,B
3.6,A
1.4285715,B
2.3296704,D
2.6312056,D
2.7893333,D
3.7777777,A
2.9761906,A
2.3207548,D
1.5769231,B
1.9444444,C
3.0,A
3.1607144,A
1.9875492,C
2.3647058,D
2.3512437,D
1.6699029,B
2.2102804,C
2.548387,D
2.0238094,C
2.3422644,D
2.2,C
2.163492,C
1.754491,B
1.98,C
1.9746852,C
1.5510204,B
2.0983605,C
2.2045455,C
2.4632354,D
1.7425742,B
2.3044753,D
2.162393,C
2.1237113,C
2.4565217,D
1.7222222,B
1.7519623,B
1.6779661,B
2.1442966,C
2.2631578,C
1.8213563,C
1.9818182,C
2.2713177,C
2.321229,D
1.9059939,C
2.0508475,C
1.9762712,C
1.78125,B
2.2291667,C
1.5686275,B
2.0364146,C
2.7460318,D
2.2432432,C
2.7234042,D
3.7727273,A
1.9775339,C
1.6275566,B
1.9444444,C
1.8810745,C
3.0816326,A
1.7940199,B
2.5045872,D
3.2847457,A
1.8604652,C
1.6060606,B
2.25,C
3.509434,A
2.7638888,D
2.5294118,D
2.0456026,C
2.0833333,C
2.0,C
3.544,A
1.7741935,B
2.3207548,D
1.8115942,C
2.264706,C
2.116959,C
2.612903,D
2.9857142,A
1.5934066,B
3.8333333,A
2.3541894,D
3.2405064,A
2.050633,C
2.4810605,D
2.0285692,C
2.4565217,D
2.4226804,D
1.896,C
1.5638298,B
3.7407408,A
1.9113301,C
2.539749,D
2.2173913,C
2.0252748,C
3.3648648,A
1.9639112,C
2.151703,C
2.2555342,C
2.6538463,D
2.097561,C
2.0113637,C
1.9622642,C
2.3804348,D
2.535885,D
1.9111111,C
1.6889677,B
1.8421053,C
1.7142857,B
1.8559879,C
2.5559459,D
1.8911731,C
3.076336,A
2.6969697,D
1.8413631,C
1.8717948,C
1.9931271,C
1.7582418,B
1.8571428,C
2.2230768,C
2.4571428,D
2.4096386,D
1.3203125,B
2.1132076,C
1.4788733,B
2.245098,C
1.7982832,B
1.7621951,B
3.3814285,A
2.467742,D
1.8076923,C
1.7561644,B
2.6881187,D
2.032258,C
2.2184875,C
1.9454546,C
2.0267856,C
1.1904762,B
2.247191,C
2.1296296,C
1.9684211,C
2.3307693,D
2.0455928,C
2.121951,C
2.060606,C
2.8666666,D
2.090909,C
1.8235294,C
2.237705,C
5.428571,E
2.2152245,C
2.0572917,C
2.909091,A
