% Title: Dictionary database. 
% Source: Yelp.com Data. 
% Authors: Manikanta Talanki & Kaushik Sirineni. 

@RELATION dictionary2 
@ATTRIBUTE usefulnessPercent NUMERIC

@ATTRIBUTE cluesterClass {A,B,C,D,E}

@DATA 
23.387096,C
12.692307,B
7.4468083,A
17.857143,B
11.272877,A
21.276596,B
9.059234,A
11.4754095,A
27.0073,C
10.526316,A
14.440264,B
14.456317,B
19.879519,B
-6.9387755,D
1.369863,D
32.12435,C
28.0,C
26.190475,C
48.837208,E
13.157895,B
12.169014,A
9.090909,A
8.478803,A
12.777778,B
17.525558,B
2.5,A
7.142857,A
35.114502,C
12.121212,A
20.313667,B
10.344828,A
4.5454545,A
25.033289,C
13.207547,B
12.195122,A
12.236287,A
4.787234,A
23.076923,C
25.443787,C
26.31579,C
24.074074,C
9.278351,A
20.238094,B
13.508443,B
16.27907,B
16.698656,B
-5.882353,D
6.060606,A
20.392157,B
22.453222,C
32.35294,C
8.163265,A
9.090909,A
15.432098,B
15.909091,B
21.59091,B
18.49315,B
4.6153846,A
19.512196,B
7.6923075,A
4.6153846,A
16.964285,B
17.525774,B
21.901527,B
26.498423,C
66.666664,E
10.018553,A
-33.333332,D
6.25,A
0.0,D
2.631579,A
7.685098,A
8.1081085,A
29.032259,C
20.4947,B
11.538462,A
20.704151,B
-10.447762,D
14.601769,B
18.446602,B
45.238094,E
21.818182,B
14.369501,B
18.181818,B
23.4375,C
16.894289,B
0.0,D
31.944445,C
-8.75,D
8.77193,A
18.435755,B
13.576159,B
25.675676,C
11.515152,A
22.93578,C
12.903226,B
9.090909,A
32.45614,C
15.789474,B
17.948717,B
34.146343,C
13.559322,B
0.0,D
17.948717,B
-1.9230769,D
16.717325,B
6.4814816,A
15.95092,B
13.253012,B
31.578947,C
-6.557377,D
9.62963,A
13.412817,B
-2.3255813,D
18.421053,B
6.6666665,A
27.777779,C
30.666666,C
12.275862,A
18.84058,B
24.324324,C
57.575756,E
16.666666,B
10.788382,A
20.37037,B
21.212122,B
31.25,C
0.95238096,D
28.571428,C
29.545454,C
12.402089,A
18.60465,B
26.31579,C
17.202642,B
26.760563,C
19.68504,B
9.489051,A
12.903226,B
45.833332,E
38.842976,E
6.060606,A
-14.049587,D
19.875776,B
6.4935064,A
14.744526,B
35.897434,C
28.205128,C
14.354067,B
20.0,B
2.1367521,A
7.106599,A
17.57106,B
33.333332,C
18.811882,B
-2.0408163,D
14.767933,B
6.0,A
-14.634147,D
15.55024,B
15.254237,B
18.558077,B
31.623932,C
10.810811,A
22.222221,C
6.25,A
-20.0,D
20.0,B
-6.779661,D
1.2249444,D
27.540108,C
32.258064,C
26.38889,C
14.413608,B
10.655738,A
19.402985,B
0.0,D
15.909091,B
11.892178,A
15.076336,B
25.0,C
-15.384615,D
6.6666665,A
21.803278,B
-1.7241379,D
33.913044,C
30.15873,C
10.6296,A
14.408602,B
7.874016,A
19.468828,B
17.54386,B
9.375,A
19.491526,B
38.666668,E
20.79208,B
-8.163265,D
16.837349,B
22.580645,C
15.686275,B
14.084507,B
11.818182,A
-3.2258065,D
38.333332,E
-1.8518518,D
11.619827,A
54.054054,E
21.052631,B
13.50365,B
10.65449,A
7.6923075,A
25.0,C
19.93464,B
30.76923,C
13.461538,B
29.05028,C
10.0,A
-9.375,D
-0.31347963,D
2.5641026,A
21.428572,B
15.276406,B
0.0,D
3.4482758,A
0.0,D
19.665272,B
21.580547,B
24.645893,C
6.451613,A
3.125,A
12.997262,B
20.12987,B
3.125,A
14.149718,B
10.676157,A
19.27711,B
8.75,A
21.538462,B
25.0,C
26.865671,C
9.195402,A
31.481482,C
12.35955,A
5.009888,A
13.798978,B
13.888889,B
19.35484,B
17.391304,B
16.666666,B
4.109589,A
16.666666,B
14.876033,B
23.076923,C
-5.633803,D
4.7058825,A
18.078367,B
21.212122,B
20.930233,B
-34.545456,D
31.666666,C
21.637426,B
25.974026,C
15.217391,B
17.61331,B
0.0,D
12.702495,B
10.714286,A
21.632652,B
11.509591,A
24.166666,C
25.0,C
6.25,A
9.230769,A
18.84058,B
56.81818,E
2.857143,A
20.547945,B
29.310345,C
6.25,A
17.21763,B
16.8,B
6.428571,A
22.580645,C
17.293234,B
3.2967033,A
37.5,E
-6.1904764,D
33.333332,C
-2.5641026,D
16.20469,B
17.449665,B
72.093025,E
8.378378,A
12.807377,B
14.136364,B
6.060606,A
16.52174,B
18.556702,B
39.506172,E
13.513514,B
18.32061,B
18.76228,B
10.457517,A
15.20582,B
14.23221,B
17.330212,B
21.621622,B
11.764706,A
22.368422,C
16.768917,B
14.285714,B
18.513514,B
6.185567,A
5.839416,A
16.981133,B
19.047619,B
12.041884,A
5.633803,A
0.0,D
20.0,B
22.44898,C
32.673267,C
22.077923,B
29.23077,C
22.450592,C
26.470589,C
3.125,A
16.017317,B
13.649938,B
18.811882,B
15.492958,B
35.48387,C
29.09091,C
19.35484,B
20.512821,B
16.129032,B
8.623418,A
14.634147,B
15.909091,B
5.633803,A
19.298246,B
26.865671,C
24.350649,C
1.8656716,A
39.285713,E
19.35484,B
13.235294,B
6.47482,A
12.121212,A
17.021276,B
12.387202,A
9.750859,A
15.151515,B
20.0,B
6.6666665,A
19.71831,B
19.491526,B
10.3923645,A
23.674911,C
8.314088,A
28.571428,C
19.702602,B
21.658987,B
16.367476,B
50.0,E
25.416666,C
25.0,C
17.777779,B
10.810811,A
53.125,E
-9.302325,D
23.622047,C
11.564626,A
22.680412,C
10.204082,A
13.930348,B
11.463414,A
0.0,D
26.666666,C
8.532611,A
20.608109,B
11.297071,A
21.212122,B
24.8,C
16.666666,B
24.390244,C
31.818182,C
-1.9047619,D
8.730159,A
10.714286,A
9.183674,A
10.169492,A
32.608696,C
6.451613,A
20.2454,B
14.90196,B
8.888889,A
16.666666,B
-2.857143,D
5.5555553,A
29.67033,C
13.475178,B
34.133335,C
42.22222,E
33.333332,C
19.811321,B
-11.538462,D
18.333334,B
35.0,C
19.642857,B
12.7129755,B
2.3529413,A
13.631841,B
9.139605,A
19.509346,B
3.2258065,A
14.285714,B
19.446846,B
17.142857,B
13.650794,B
13.173653,B
18.0,B
13.108019,B
2.0408163,A
24.590164,C
4.5454545,A
10.294118,A
17.821783,B
16.140865,B
17.948717,B
15.463918,B
19.565218,B
13.888889,B
15.070643,B
8.474576,A
14.792422,B
7.894737,A
17.91498,B
25.454546,C
24.806202,C
10.195531,A
15.890821,B
6.779661,A
15.593221,B
21.875,B
16.666666,B
33.333332,C
16.43324,B
22.222221,C
0.0,D
21.276596,B
30.30303,C
14.472309,B
15.715823,B
11.111111,A
13.844451,B
21.428572,B
15.2823925,B
6.4220185,A
25.423729,C
0.0,D
-3.030303,D
7.5,A
1.8867924,A
6.9444447,A
38.235294,E
20.846905,B
25.0,C
22.580645,C
27.2,C
6.451613,A
16.981133,B
18.115942,B
20.09804,B
19.590643,B
41.935482,E
35.714287,C
7.6923075,A
46.969696,E
18.008705,B
17.72152,B
24.050632,C
4.1666665,A
15.445695,B
15.217391,B
9.278351,A
14.4,B
0.0,D
41.48148,E
-5.4187193,D
