% Title: User database. 
% Source: Yelp.com Data. 
% Authors: Manikanta Talanki & Kaushik Sirineni. 

@RELATION userdb 
@ATTRIBUTE userStarRating NUMERIC 
@ATTRIBUTE userReviewCount NUMERIC
@ATTRIBUTE reviewStarRating {1,2,3,4,5}
@ATTRIBUTE reviewUsefulness  {A,B,C,D,E} 
@DATA 
3.0,2,1.0,A
5.0,2,4.0,A
5.0,2,4.0,A
5.0,2,5.0,A
5.0,1,5.0,A
5.0,2,5.0,A
4.0,15,3.0,A
5.0,2,5.0,A
5.0,2,5.0,A
3.0,14,4.0,A
5.0,4,5.0,A
4.0,12,3.0,A
4.0,12,3.0,A
4.0,12,4.0,A
4.0,12,4.0,A
5.0,1,5.0,A
5.0,6,5.0,A
5.0,6,5.0,A
1.0,1,1.0,A
5.0,1,5.0,A
3.0,5,1.0,A
4.0,2,2.0,A
5.0,1,5.0,A
5.0,1,5.0,A
1.0,1,1.0,A
4.0,3,4.0,A
4.0,1,4.0,A
5.0,6,4.0,A
5.0,6,4.0,A
5.0,6,5.0,A
5.0,6,5.0,A
2.0,2,2.0,A
4.0,1,4.0,A
4.0,3,4.0,A
5.0,2,5.0,A
4.0,11,4.0,A
1.0,1,1.0,A
1.0,1,1.0,A
5.0,5,5.0,A
5.0,5,4.0,A
5.0,5,3.0,A
5.0,2,5.0,A
4.0,2,2.0,A
5.0,1,5.0,A
5.0,1,5.0,A
4.0,2,4.0,A
4.0,6,2.0,A
2.0,1,2.0,A
5.0,2,5.0,A
3.0,40,1.0,A
4.0,3,4.0,A
5.0,4,5.0,A
5.0,4,2.0,A
5.0,4,5.0,A
4.0,47,4.0,A
4.0,47,4.0,A
5.0,1,5.0,A
5.0,10,4.0,A
5.0,10,5.0,A
5.0,10,5.0,A
4.0,19,5.0,A
5.0,1,5.0,A
5.0,5,5.0,A
5.0,3,5.0,A
5.0,6,5.0,A
5.0,6,4.0,A
5.0,2,5.0,A
3.0,7,5.0,A
1.0,1,1.0,A
3.0,2,4.0,A
1.0,1,1.0,A
3.0,2,1.0,A
2.0,4,1.0,A
2.0,4,1.0,A
1.0,1,1.0,A
5.0,2,5.0,A
5.0,2,5.0,A
5.0,5,1.0,A
5.0,5,5.0,A
5.0,1,5.0,A
5.0,1,5.0,A
5.0,19,3.0,A
5.0,19,4.0,A
5.0,19,5.0,A
5.0,19,4.0,A
5.0,19,3.0,A
3.0,1,3.0,A
4.0,6,5.0,A
5.0,5,5.0,A
2.0,2,1.0,A
2.0,2,2.0,A
3.0,3,1.0,A
5.0,10,5.0,A
5.0,10,5.0,A
5.0,10,5.0,A
4.0,8,4.0,A
4.0,8,4.0,A
4.0,8,4.0,A
3.0,7,1.0,A
3.0,7,5.0,A
5.0,4,5.0,A
5.0,4,4.0,A
5.0,4,4.0,A
5.0,2,5.0,A
4.0,5,4.0,A
5.0,2,5.0,A
5.0,1,5.0,A
4.0,4,5.0,A
4.0,63,4.0,A
4.0,63,4.0,A
4.0,63,4.0,A
4.0,63,3.0,A
3.0,28,5.0,A
3.0,28,2.0,A
4.0,1,4.0,A
5.0,2,4.0,A
5.0,1,5.0,A
5.0,2,5.0,A
4.0,209,2.0,A
4.0,209,2.0,A
4.0,209,3.0,A
4.0,209,2.0,A
5.0,9,5.0,A
5.0,9,5.0,A
5.0,9,4.0,A
5.0,9,4.0,A
5.0,3,5.0,A
5.0,3,5.0,A
5.0,2,5.0,A
4.0,14,5.0,A
5.0,1,5.0,A
4.0,1,4.0,A
3.0,3,2.0,A
5.0,1,5.0,A
3.0,3,5.0,A
3.0,3,3.0,A
5.0,2,4.0,A
2.0,1,2.0,A
1.0,2,1.0,A
5.0,2,4.0,A
5.0,2,5.0,A
2.0,2,1.0,A
4.0,7,4.0,A
4.0,7,4.0,A
4.0,7,5.0,A
4.0,14,5.0,A
5.0,3,5.0,A
4.0,3,5.0,A
4.0,3,5.0,A
4.0,3,1.0,A
1.0,2,1.0,A
5.0,3,5.0,A
4.0,5,4.0,A
5.0,1,5.0,A
5.0,89,4.0,A
5.0,1,5.0,A
5.0,3,5.0,A
1.0,2,1.0,A
5.0,1,5.0,A
4.0,1,4.0,A
5.0,1,5.0,A
5.0,6,1.0,A
3.0,4,5.0,A
3.0,4,1.0,A
5.0,3,5.0,A
5.0,1,5.0,A
4.0,24,1.0,A
3.0,2,1.0,A
5.0,14,5.0,A
3.0,4,1.0,A
5.0,2,5.0,A
5.0,2,4.0,A
4.0,24,5.0,A
4.0,12,2.0,A
4.0,12,3.0,A
4.0,12,2.0,A
4.0,12,3.0,A
4.0,12,3.0,A
4.0,12,1.0,A
4.0,12,5.0,A
3.0,6,4.0,A
5.0,4,5.0,A
5.0,4,5.0,A
3.0,5,3.0,A
3.0,5,3.0,A
5.0,10,4.0,A
5.0,3,3.0,A
5.0,3,5.0,A
4.0,8,4.0,A
3.0,3,1.0,A
4.0,35,4.0,A
4.0,35,5.0,A
4.0,35,5.0,A
4.0,35,1.0,A
4.0,35,4.0,A
3.0,5,5.0,A
3.0,5,1.0,A
4.0,6,4.0,A
4.0,31,5.0,A
2.0,2,2.0,A
2.0,2,2.0,A
4.0,158,2.0,A
4.0,158,4.0,A
4.0,158,4.0,A
5.0,1,5.0,A
4.0,2,5.0,A
4.0,9,4.0,A
4.0,4,5.0,A
4.0,4,5.0,A
1.0,2,1.0,A
1.0,1,1.0,A
2.0,3,2.0,A
4.0,1,4.0,A
5.0,6,5.0,A
5.0,6,4.0,A
5.0,6,4.0,A
5.0,6,4.0,A
5.0,6,5.0,A
5.0,6,4.0,A
3.0,2,3.0,A
3.0,2,3.0,A
5.0,2,5.0,A
3.0,2,2.0,A
3.0,2,4.0,A
5.0,1,5.0,A
5.0,2,4.0,A
5.0,2,5.0,A
5.0,5,5.0,A
5.0,2,4.0,A
1.0,1,1.0,A
3.0,34,1.0,A
3.0,34,2.0,A
3.0,34,3.0,A
3.0,34,4.0,A
3.0,34,1.0,A
3.0,34,4.0,A
3.0,34,3.0,A
3.0,34,4.0,A
3.0,34,2.0,A
3.0,34,3.0,A
3.0,34,1.0,A
3.0,34,1.0,A
3.0,34,4.0,A
3.0,34,4.0,A
3.0,34,3.0,A
5.0,1,5.0,A
4.0,2,5.0,A
1.0,2,1.0,A
5.0,2,5.0,A
3.0,2,5.0,A
2.0,1,2.0,A
5.0,3,5.0,A
4.0,2,4.0,A
2.0,1,2.0,A
4.0,11,1.0,A
1.0,1,1.0,A
5.0,1,5.0,A
5.0,11,5.0,A
5.0,11,5.0,A
5.0,11,5.0,A
5.0,11,5.0,A
5.0,11,4.0,A
5.0,11,5.0,A
2.0,10,1.0,A
5.0,1,5.0,A
5.0,4,5.0,A
5.0,4,5.0,A
2.0,1,2.0,A
5.0,2,5.0,A
5.0,5,5.0,A
5.0,8,5.0,A
5.0,8,5.0,A
1.0,1,1.0,A
4.0,1,4.0,A
5.0,1,5.0,A
3.0,8,2.0,A
3.0,8,2.0,A
2.0,2,2.0,A
5.0,2,5.0,A
5.0,2,5.0,A
4.0,1,4.0,A
4.0,8,5.0,A
4.0,18,4.0,A
4.0,18,5.0,A
4.0,18,3.0,A
4.0,18,2.0,A
4.0,18,5.0,A
4.0,18,5.0,A
4.0,18,5.0,A
4.0,18,5.0,A
5.0,3,5.0,A
5.0,3,5.0,A
5.0,7,5.0,A
5.0,1,5.0,A
4.0,10,2.0,A
4.0,2,5.0,A
5.0,1,5.0,A
2.0,4,1.0,A
5.0,3,5.0,A
5.0,5,5.0,A
4.0,5,5.0,A
