% Title: User database. 
% Source: Yelp.com Data. 
% Authors: Manikanta Talanki & Kaushik Sirineni. 

@RELATION userdb 
@ATTRIBUTE userStarRating {1,2,3,4,5} 
@ATTRIBUTE userReviewCount NUMERIC
@ATTRIBUTE reviewStarRating {1,2,3,4,5}
@ATTRIBUTE reviewUsefulness  {A,B,C,D,E} 
@DATA 
4.0,29,5.0,A
4.0,29,4.0,E
4.0,29,5.0,A
4.0,29,3.0,E
4.0,29,5.0,E
4.0,29,2.0,E
4.0,29,4.0,E
4.0,29,4.0,E
4.0,29,5.0,A
5.0,3,5.0,E
5.0,1,5.0,E
5.0,8,5.0,E
5.0,8,5.0,E
5.0,8,4.0,E
5.0,8,3.0,E
4.0,38,3.0,A
4.0,38,2.0,A
5.0,3,5.0,A
5.0,3,5.0,E
4.0,27,5.0,E
4.0,27,4.0,E
4.0,27,4.0,E
4.0,27,5.0,E
4.0,27,4.0,E
4.0,27,4.0,E
4.0,27,5.0,E
4.0,27,3.0,E
4.0,27,3.0,E
4.0,27,1.0,E
4.0,27,5.0,E
4.0,27,4.0,E
4.0,27,3.0,A
4.0,27,4.0,E
4.0,27,1.0,E
4.0,27,1.0,E
4.0,27,5.0,A
4.0,27,4.0,A
4.0,27,5.0,E
4.0,27,2.0,A
5.0,42,5.0,E
5.0,19,5.0,E
5.0,19,4.0,E
5.0,19,2.0,E
5.0,19,4.0,E
5.0,19,5.0,E
5.0,19,3.0,E
5.0,19,5.0,A
5.0,19,3.0,A
5.0,19,5.0,E
5.0,19,4.0,E
5.0,3,5.0,E
5.0,21,4.0,E
5.0,21,5.0,E
5.0,2,5.0,E
5.0,2,5.0,E
4.0,1,4.0,E
3.0,4,1.0,A
3.0,4,4.0,A
3.0,4,2.0,E
4.0,54,2.0,E
4.0,54,4.0,E
4.0,54,1.0,E
4.0,54,3.0,E
2.0,3,1.0,A
2.0,3,2.0,E
5.0,3,5.0,E
5.0,3,5.0,E
4.0,1,4.0,E
5.0,27,4.0,E
5.0,27,5.0,E
5.0,27,4.0,A
5.0,27,2.0,E
